hand	hand_eff	hand_name
['c07', 'c13', 'd11', 'h04']	['d11', 'c07', 'h04']	Three_Card-11_07_04
['c12', 'd04', 'd09', 'd13']	['c12', 'd04']	Two_Card-12_04
['c12', 'd02', 'd03', 's08']	['d02', 'c12', 's08']	Three_Card-12_08_02
['c05', 'c08', 'd04', 'd09']	['c05', 'd04']	Two_Card-05_04
['c04', 'h10', 's06', 's10']	['h10', 's06', 'c04']	Three_Card-10_06_04
['d10', 'h01', 'h11', 's11']	['s11', 'd10', 'h01']	Three_Card-11_10_01
['c11', 'd09', 'h11', 's03']	['c11', 'd09', 's03']	Three_Card-11_09_03
['c06', 'd04', 'd06', 'd07']	['c06', 'd04']	Two_Card-06_04
['c01', 'c02', 'd03', 's01']	['s01', 'c02', 'd03']	Three_Card-03_02_01
['h08', 's03', 's05', 's10']	['h08', 's03']	Two_Card-08_03
['d03', 'd06', 'd08', 'd10']	['d03']	One_Card-03
['c11', 'd01', 'd06', 'd11']	['c11', 'd01']	Two_Card-11_01
['d09', 'd13', 'h05', 's09']	['s09', 'h05']	Two_Card-09_05
['c02', 'c13', 'd10', 'h12']	['c02', 'd10', 'h12']	Three_Card-12_10_02
['d05', 'd08', 'h04', 's03']	['d05', 's03', 'h04']	Three_Card-05_04_03
['d07', 'h02', 'h12', 's10']	['h02', 's10', 'd07']	Three_Card-10_07_02
['c09', 'd04', 'h10', 's05']	['s05', 'h10', 'c09', 'd04']	Badugi-10_09_05_04
['c08', 'h03', 'h05', 's08']	['c08', 'h03']	Two_Card-08_03
['c03', 'h07', 'h12', 's10']	['s10', 'h07', 'c03']	Three_Card-10_07_03
['d01', 'd02', 's07', 's11']	['d01', 's07']	Two_Card-07_01
['c04', 'c11', 's01', 's06']	['s01', 'c04']	Two_Card-04_01
['c07', 'h02', 's02', 's03']	['h02', 'c07', 's03']	Three_Card-07_03_02
['c10', 'd05', 'h08', 's04']	['d05', 'h08', 'c10', 's04']	Badugi-10_08_05_04
['c01', 'c06', 'd12', 'h09']	['c01', 'h09', 'd12']	Three_Card-12_09_01
['d06', 'h04', 'h07', 's02']	['s02', 'd06', 'h04']	Three_Card-06_04_02
['d03', 'h02', 'h09', 's12']	['h02', 's12', 'd03']	Three_Card-12_03_02
['c02', 'c09', 'd07', 'h08']	['c02', 'd07', 'h08']	Three_Card-08_07_02
['c01', 'c03', 'c08', 'c13']	['c01']	One_Card-01
['d02', 'h04', 'h07', 's09']	['s09', 'd02', 'h04']	Three_Card-09_04_02
['c09', 'd08', 'h10', 's07']	['c09', 'd08', 'h10', 's07']	Badugi-10_09_08_07
['c05', 'c08', 'h05', 'h09']	['h05', 'c08']	Two_Card-08_05
['c03', 'h09', 'h11', 's10']	['h09', 's10', 'c03']	Three_Card-10_09_03
['c05', 'c12', 'd02', 's13']	['c05', 'd02', 's13']	Three_Card-13_05_02
['d06', 's05', 's08', 's10']	['s05', 'd06']	Two_Card-06_05
['c02', 'd03', 'd08', 'h01']	['h01', 'c02', 'd03']	Three_Card-03_02_01
['s01', 's03', 's06', 's09']	['s01']	One_Card-01
['c08', 'h03', 'h06', 's07']	['c08', 's07', 'h03']	Three_Card-08_07_03
['d07', 'd09', 'h09', 'h13']	['h09', 'd07']	Two_Card-09_07
['d12', 'h06', 'h07', 's09']	['s09', 'h06', 'd12']	Three_Card-12_09_06
['d10', 'h02', 'h10', 's09']	['s09', 'h02', 'd10']	Three_Card-10_09_02
['c08', 'c13', 'h10', 's01']	['s01', 'c08', 'h10']	Three_Card-10_08_01
['c01', 's01', 's05', 's06']	['c01', 's05']	Two_Card-05_01
['c01', 'c02', 'd04', 'h09']	['c01', 'h09', 'd04']	Three_Card-09_04_01
['c05', 'd02', 's05', 's13']	['c05', 'd02']	Two_Card-05_02
['c12', 'c13', 'd11', 's03']	['d11', 'c12', 's03']	Three_Card-12_11_03
['c09', 'd05', 'd11', 'h04']	['c09', 'd05', 'h04']	Three_Card-09_05_04
['d09', 'h03', 's03', 's06']	['d09', 's06', 'h03']	Three_Card-09_06_03
['d07', 'h01', 's02', 's13']	['h01', 's02', 'd07']	Three_Card-07_02_01
['h10', 'h11', 's11', 's13']	['s11', 'h10']	Two_Card-11_10
['c05', 'c10', 's04', 's13']	['c05', 's04']	Two_Card-05_04
['c02', 'h03', 'h06', 's09']	['s09', 'c02', 'h03']	Three_Card-09_03_02
['c03', 'c06', 'd11', 's07']	['d11', 's07', 'c03']	Three_Card-11_07_03
['c04', 'd04', 'h04', 's08']	['s08', 'c04']	Two_Card-08_04
['d05', 'd07', 'h07', 's01']	['s01', 'd05', 'h07']	Three_Card-07_05_01
['c02', 'c12', 'h10', 's13']	['c02', 'h10', 's13']	Three_Card-13_10_02
['c06', 'h01', 's03', 's13']	['h01', 'c06', 's03']	Three_Card-06_03_01
['d08', 'h10', 's11', 's13']	['s11', 'd08', 'h10']	Three_Card-11_10_08
['c03', 'd11', 'h04', 's10']	['d11', 's10', 'c03', 'h04']	Badugi-11_10_04_03
['c01', 'h04', 'h07', 's11']	['c01', 's11', 'h04']	Three_Card-11_04_01
['d03', 'h05', 's05', 's13']	['s05', 'd03']	Two_Card-05_03
['d06', 'd10', 'd11', 'h06']	['d10', 'h06']	Two_Card-10_06
['c02', 'c03', 'd01', 'd10']	['d01', 'c02']	Two_Card-02_01
['c06', 'c13', 'd06', 's03']	['c06', 's03']	Two_Card-06_03
['d09', 's01', 's04', 's09']	['d09', 's01']	Two_Card-09_01
['c05', 'c06', 'h09', 's03']	['c05', 'h09', 's03']	Three_Card-09_05_03
['d06', 'd12', 's05', 's12']	['s05', 'd06']	Two_Card-06_05
['c08', 'c11', 'c13', 'h08']	['c11', 'h08']	Two_Card-11_08
['c07', 'd02', 'd09', 'h05']	['h05', 'd02', 'c07']	Three_Card-07_05_02
['d05', 'd08', 's04', 's10']	['d05', 's04']	Two_Card-05_04
['d06', 'd09', 'd10', 's05']	['s05', 'd06']	Two_Card-06_05
['c07', 'd04', 'h07', 'h11']	['c07', 'd04']	Two_Card-07_04
['d02', 'h02', 'h06', 's03']	['d02', 's03']	Two_Card-03_02
['c02', 'c04', 'h02', 'h03']	['c02', 'h03']	Two_Card-03_02
['c12', 'd07', 'd13', 'h09']	['h09', 'd07', 'c12']	Three_Card-12_09_07
['c02', 'c05', 's06', 's09']	['c02', 's06']	Two_Card-06_02
['c06', 'd09', 'd11', 's04']	['d09', 'c06', 's04']	Three_Card-09_06_04
['c09', 'd01', 'h05', 'h09']	['c09', 'h05', 'd01']	Three_Card-09_05_01
['c11', 's01', 's05', 's12']	['c11', 's01']	Two_Card-11_01
['c05', 'c08', 'h06', 's07']	['c05', 'h06', 's07']	Three_Card-07_06_05
['c09', 'h09', 's07', 's09']	['c09', 's07']	Two_Card-09_07
['c10', 'd11', 'd13', 'h04']	['d11', 'c10', 'h04']	Three_Card-11_10_04
['c06', 'h02', 'h03', 's01']	['s01', 'h02', 'c06']	Three_Card-06_02_01
['c01', 'c06', 'd08', 'd09']	['c01', 'd08']	Two_Card-08_01
['d06', 'h05', 'h09', 's03']	['h05', 'd06', 's03']	Three_Card-06_05_03
['h03', 'h09', 's02', 's13']	['s02', 'h03']	Two_Card-03_02
['c01', 'c13', 's01', 's10']	['c01', 's10']	Two_Card-10_01
['c02', 'd09', 's05', 's10']	['d09', 'c02', 's05']	Three_Card-09_05_02
['c08', 'd05', 'h01', 'h11']	['d05', 'c08', 'h01']	Three_Card-08_05_01
['c07', 'c10', 'h07', 'h12']	['c10', 'h07']	Two_Card-10_07
['c04', 'd11', 'h08', 's06']	['d11', 'h08', 's06', 'c04']	Badugi-11_08_06_04
['d01', 'd04', 'h09', 's13']	['d01', 's13', 'h09']	Three_Card-13_09_01
['c09', 'd03', 'd10', 's06']	['c09', 's06', 'd03']	Three_Card-09_06_03
['c01', 'c07', 'h06', 'h12']	['c01', 'h06']	Two_Card-06_01
['c06', 's01', 's10', 's12']	['s01', 'c06']	Two_Card-06_01
['c01', 'c04', 'h02', 's11']	['c01', 'h02', 's11']	Three_Card-11_02_01
['c01', 'd06', 'd09', 's13']	['c01', 's13', 'd06']	Three_Card-13_06_01
['c05', 'd01', 'd07', 'h11']	['c05', 'd01', 'h11']	Three_Card-11_05_01
['c12', 'd05', 'h08', 's12']	['d05', 'h08', 's12']	Three_Card-12_08_05
['c07', 'c10', 'd09', 'h02']	['d09', 'h02', 'c07']	Three_Card-09_07_02
['c01', 'd06', 'h04', 'h12']	['c01', 'd06', 'h04']	Three_Card-06_04_01
['c11', 'd06', 'h12', 's06']	['c11', 'h12', 's06']	Three_Card-12_11_06
['d05', 's01', 's06', 's07']	['d05', 's01']	Two_Card-05_01
['h01', 'h12', 'h13', 's04']	['h01', 's04']	Two_Card-04_01
['c04', 'c05', 's06', 's08']	['s06', 'c04']	Two_Card-06_04
['h01', 'h07', 's01', 's06']	['h01', 's06']	Two_Card-06_01
['c01', 'c06', 'c08', 'c13']	['c01']	One_Card-01
['h09', 's02', 's03', 's04']	['h09', 's02']	Two_Card-09_02
