hand_name	count
Two_Card-02_01	4160
Two_Card-03_01	3812
Two_Card-03_02	3548
Two_Card-04_01	3476
Two_Card-04_02	3224
Two_Card-05_01	3152
Two_Card-04_03	2984
Two_Card-05_02	2912
Two_Card-06_01	2840
Two_Card-05_03	2684
Two_Card-06_02	2612
Two_Card-07_01	2540
Two_Card-05_04	2468
Two_Card-06_03	2396
Two_Card-07_02	2324
Two_Card-08_01	2252
Two_Card-06_04	2192
Two_Card-07_03	2120
Two_Card-08_02	2048
Two_Card-06_05	2000
Two_Card-09_01	1976
Two_Card-07_04	1928
Two_Card-08_03	1856
Two_Card-09_02	1784
Two_Card-07_05	1748
Two_Card-10_01	1712
Two_Card-08_04	1676
Two_Card-09_03	1604
Two_Card-07_06	1580
Two_Card-10_02	1532
Two_Card-08_05	1508
Two_Card-11_01	1460
Two_Card-09_04	1436
Two_Card-10_03	1364
Two_Card-08_06	1352
Two_Card-11_02	1292
Two_Card-09_05	1280
Two_Card-12_01	1220
Two_Card-10_04	1208
Two_Card-08_07	1208
Two_Card-09_06	1136
Two_Card-11_03	1136
Two_Card-10_05	1064
Two_Card-12_02	1064
Two_Card-09_07	1004
Two_Card-11_04	992
Two_Card-13_01	992
Two_Card-10_06	932
Two_Card-12_03	920
Two_Card-09_08	884
One_Card-01	881
Two_Card-11_05	860
Three_Card-03_02_01	852
Two_Card-13_02	848
Three_Card-04_02_01	828
Two_Card-10_07	812
Three_Card-05_02_01	804
Three_Card-04_03_01	804
Two_Card-12_04	788
Three_Card-04_03_02	780
Three_Card-05_03_01	780
Three_Card-06_02_01	780
Three_Card-05_04_01	756
Three_Card-06_03_01	756
Three_Card-07_02_01	756
Three_Card-05_03_02	756
Two_Card-11_06	740
Three_Card-06_03_02	732
Three_Card-05_04_02	732
Three_Card-08_02_01	732
Three_Card-07_03_01	732
Three_Card-06_04_01	732
Two_Card-13_03	716
Three_Card-07_04_01	708
Three_Card-07_03_02	708
Three_Card-08_03_01	708
Three_Card-09_02_01	708
Three_Card-06_04_02	708
Three_Card-06_05_01	708
Three_Card-05_04_03	708
Two_Card-10_08	704
Three_Card-08_03_02	684
Three_Card-06_05_02	684
Three_Card-08_04_01	684
Three_Card-07_05_01	684
Three_Card-09_03_01	684
Three_Card-07_04_02	684
Three_Card-10_02_01	684
Three_Card-06_04_03	684
Two_Card-12_05	668
One_Card-02	661
Three_Card-08_05_01	660
Three_Card-08_04_02	660
Three_Card-06_05_03	660
Three_Card-10_03_01	660
Three_Card-07_04_03	660
Three_Card-09_04_01	660
Three_Card-07_06_01	660
Three_Card-09_03_02	660
Three_Card-11_02_01	660
Three_Card-07_05_02	660
Three_Card-12_02_01	636
Three_Card-07_05_03	636
Three_Card-08_04_03	636
Three_Card-07_06_02	636
Three_Card-11_03_01	636
Three_Card-08_06_01	636
Three_Card-06_05_04	636
Three_Card-09_04_02	636
Three_Card-10_04_01	636
Three_Card-09_05_01	636
Three_Card-10_03_02	636
Three_Card-08_05_02	636
Two_Card-11_07	632
Three_Card-07_05_04	612
Three_Card-09_05_02	612
Three_Card-07_06_03	612
Three_Card-08_06_02	612
Three_Card-11_03_02	612
Three_Card-08_05_03	612
Three_Card-10_04_02	612
Three_Card-09_04_03	612
Three_Card-09_06_01	612
Three_Card-12_03_01	612
Three_Card-13_02_01	612
Three_Card-08_07_01	612
Three_Card-10_05_01	612
Three_Card-11_04_01	612
Two_Card-10_09	608
Two_Card-13_04	596
Three_Card-08_05_04	588
Three_Card-11_04_02	588
Three_Card-10_06_01	588
Three_Card-13_03_01	588
Three_Card-12_04_01	588
Three_Card-12_03_02	588
Three_Card-10_05_02	588
Three_Card-09_06_02	588
Three_Card-08_07_02	588
Three_Card-09_07_01	588
Three_Card-07_06_04	588
Three_Card-08_06_03	588
Three_Card-10_04_03	588
Three_Card-11_05_01	588
Three_Card-09_05_03	588
Three_Card-13_04_01	564
Three_Card-12_05_01	564
Three_Card-09_07_02	564
Three_Card-10_06_02	564
Three_Card-09_05_04	564
Three_Card-11_05_02	564
Three_Card-08_07_03	564
Three_Card-09_06_03	564
Three_Card-10_07_01	564
Three_Card-13_03_02	564
Three_Card-09_08_01	564
Three_Card-10_05_03	564
Three_Card-07_06_05	564
Three_Card-12_04_02	564
Three_Card-11_04_03	564
Three_Card-11_06_01	564
Three_Card-08_06_04	564
Two_Card-12_06	560
Three_Card-11_07_01	540
