hand_name	strength
Badugi-04_03_02_01	1092
Badugi-05_03_02_01	1091
Badugi-05_04_02_01	1090
Badugi-05_04_03_01	1089
Badugi-05_04_03_02	1088
Badugi-06_03_02_01	1087
Badugi-06_04_02_01	1086
Badugi-06_04_03_01	1085
Badugi-06_04_03_02	1084
Badugi-06_05_02_01	1083
Badugi-06_05_03_01	1082
Badugi-06_05_03_02	1081
Badugi-06_05_04_01	1080
Badugi-06_05_04_02	1079
Badugi-06_05_04_03	1078
Badugi-07_03_02_01	1077
Badugi-07_04_02_01	1076
Badugi-07_04_03_01	1075
Badugi-07_04_03_02	1074
Badugi-07_05_02_01	1073
Badugi-07_05_03_01	1072
Badugi-07_05_03_02	1071
Badugi-07_05_04_01	1070
Badugi-07_05_04_02	1069
Badugi-07_05_04_03	1068
Badugi-07_06_02_01	1067
Badugi-07_06_03_01	1066
Badugi-07_06_03_02	1065
Badugi-07_06_04_01	1064
Badugi-07_06_04_02	1063
Badugi-07_06_04_03	1062
Badugi-07_06_05_01	1061
Badugi-07_06_05_02	1060
Badugi-07_06_05_03	1059
Badugi-07_06_05_04	1058
Badugi-08_03_02_01	1057
Badugi-08_04_02_01	1056
Badugi-08_04_03_01	1055
Badugi-08_04_03_02	1054
Badugi-08_05_02_01	1053
Badugi-08_05_03_01	1052
Badugi-08_05_03_02	1051
Badugi-08_05_04_01	1050
Badugi-08_05_04_02	1049
Badugi-08_05_04_03	1048
Badugi-08_06_02_01	1047
Badugi-08_06_03_01	1046
Badugi-08_06_03_02	1045
Badugi-08_06_04_01	1044
Badugi-08_06_04_02	1043
Badugi-08_06_04_03	1042
Badugi-08_06_05_01	1041
Badugi-08_06_05_02	1040
Badugi-08_06_05_03	1039
Badugi-08_06_05_04	1038
Badugi-08_07_02_01	1037
Badugi-08_07_03_01	1036
Badugi-08_07_03_02	1035
Badugi-08_07_04_01	1034
Badugi-08_07_04_02	1033
Badugi-08_07_04_03	1032
Badugi-08_07_05_01	1031
Badugi-08_07_05_02	1030
Badugi-08_07_05_03	1029
Badugi-08_07_05_04	1028
Badugi-08_07_06_01	1027
Badugi-08_07_06_02	1026
Badugi-08_07_06_03	1025
Badugi-08_07_06_04	1024
Badugi-08_07_06_05	1023
Badugi-09_03_02_01	1022
Badugi-09_04_02_01	1021
Badugi-09_04_03_01	1020
Badugi-09_04_03_02	1019
Badugi-09_05_02_01	1018
Badugi-09_05_03_01	1017
Badugi-09_05_03_02	1016
Badugi-09_05_04_01	1015
Badugi-09_05_04_02	1014
Badugi-09_05_04_03	1013
Badugi-09_06_02_01	1012
Badugi-09_06_03_01	1011
Badugi-09_06_03_02	1010
Badugi-09_06_04_01	1009
Badugi-09_06_04_02	1008
Badugi-09_06_04_03	1007
Badugi-09_06_05_01	1006
Badugi-09_06_05_02	1005
Badugi-09_06_05_03	1004
Badugi-09_06_05_04	1003
Badugi-09_07_02_01	1002
Badugi-09_07_03_01	1001
Badugi-09_07_03_02	1000
Badugi-09_07_04_01	999
Badugi-09_07_04_02	998
Badugi-09_07_04_03	997
Badugi-09_07_05_01	996
Badugi-09_07_05_02	995
Badugi-09_07_05_03	994
Badugi-09_07_05_04	993
Badugi-09_07_06_01	992
Badugi-09_07_06_02	991
Badugi-09_07_06_03	990
Badugi-09_07_06_04	989
Badugi-09_07_06_05	988
Badugi-09_08_02_01	987
Badugi-09_08_03_01	986
Badugi-09_08_03_02	985
Badugi-09_08_04_01	984
Badugi-09_08_04_02	983
Badugi-09_08_04_03	982
Badugi-09_08_05_01	981
Badugi-09_08_05_02	980
Badugi-09_08_05_03	979
Badugi-09_08_05_04	978
Badugi-09_08_06_01	977
Badugi-09_08_06_02	976
Badugi-09_08_06_03	975
Badugi-09_08_06_04	974
Badugi-09_08_06_05	973
Badugi-09_08_07_01	972
Badugi-09_08_07_02	971
Badugi-09_08_07_03	970
Badugi-09_08_07_04	969
Badugi-09_08_07_05	968
Badugi-09_08_07_06	967
Badugi-10_03_02_01	966
Badugi-10_04_02_01	965
Badugi-10_04_03_01	964
Badugi-10_04_03_02	963
Badugi-10_05_02_01	962
Badugi-10_05_03_01	961
Badugi-10_05_03_02	960
Badugi-10_05_04_01	959
Badugi-10_05_04_02	958
Badugi-10_05_04_03	957
Badugi-10_06_02_01	956
Badugi-10_06_03_01	955
Badugi-10_06_03_02	954
Badugi-10_06_04_01	953
Badugi-10_06_04_02	952
Badugi-10_06_04_03	951
Badugi-10_06_05_01	950
Badugi-10_06_05_02	949
Badugi-10_06_05_03	948
Badugi-10_06_05_04	947
