hand	hand_eff	hand_name
['c01', 'd02', 'h03', 's04']	['h03', 'c01', 'd02', 's04']	Badugi-04_03_02_01
['c01', 'd02', 'h04', 's03']	['s03', 'c01', 'd02', 'h04']	Badugi-04_03_02_01
['c01', 'd03', 'h02', 's04']	['d03', 'c01', 'h02', 's04']	Badugi-04_03_02_01
['c01', 'd03', 'h04', 's02']	['d03', 'c01', 's02', 'h04']	Badugi-04_03_02_01
['c01', 'd04', 'h02', 's03']	['s03', 'c01', 'h02', 'd04']	Badugi-04_03_02_01
['c01', 'd04', 'h03', 's02']	['h03', 'c01', 's02', 'd04']	Badugi-04_03_02_01
['c02', 'd01', 'h03', 's04']	['h03', 'd01', 'c02', 's04']	Badugi-04_03_02_01
['c02', 'd01', 'h04', 's03']	['s03', 'd01', 'c02', 'h04']	Badugi-04_03_02_01
['c02', 'd03', 'h01', 's04']	['d03', 'h01', 'c02', 's04']	Badugi-04_03_02_01
['c02', 'd03', 'h04', 's01']	['d03', 's01', 'c02', 'h04']	Badugi-04_03_02_01
['c02', 'd04', 'h01', 's03']	['s03', 'h01', 'c02', 'd04']	Badugi-04_03_02_01
['c02', 'd04', 'h03', 's01']	['h03', 's01', 'c02', 'd04']	Badugi-04_03_02_01
['c03', 'd01', 'h02', 's04']	['c03', 'd01', 'h02', 's04']	Badugi-04_03_02_01
['c03', 'd01', 'h04', 's02']	['c03', 'd01', 's02', 'h04']	Badugi-04_03_02_01
['c03', 'd02', 'h01', 's04']	['c03', 'h01', 'd02', 's04']	Badugi-04_03_02_01
['c03', 'd02', 'h04', 's01']	['c03', 's01', 'd02', 'h04']	Badugi-04_03_02_01
['c03', 'd04', 'h01', 's02']	['c03', 'h01', 's02', 'd04']	Badugi-04_03_02_01
['c03', 'd04', 'h02', 's01']	['c03', 's01', 'h02', 'd04']	Badugi-04_03_02_01
['c04', 'd01', 'h02', 's03']	['s03', 'd01', 'h02', 'c04']	Badugi-04_03_02_01
['c04', 'd01', 'h03', 's02']	['h03', 'd01', 's02', 'c04']	Badugi-04_03_02_01
['c04', 'd02', 'h01', 's03']	['s03', 'h01', 'd02', 'c04']	Badugi-04_03_02_01
['c04', 'd02', 'h03', 's01']	['h03', 's01', 'd02', 'c04']	Badugi-04_03_02_01
['c04', 'd03', 'h01', 's02']	['d03', 'h01', 's02', 'c04']	Badugi-04_03_02_01
['c04', 'd03', 'h02', 's01']	['d03', 's01', 'h02', 'c04']	Badugi-04_03_02_01
